,vintage_years,stated_annual_revenue,stated_time_in_business,requested_amount,has_linked_bank_feed,observed_monthly_revenue_avg_3mo,observed_revenue_trend_3mo,observed_revenue_volatility,observed_cash_balance_p10,observed_overdraft_count_3mo,payroll_regularity_score,aggregate_credit_utilization,recent_inquiries_count_6mo,existing_debt_obligations,days_since_last_external_decline,account_age_days,platform_active_months,bookkeeping_recency_days,invoice_payment_delinquency_rate,prior_loans_count,prior_loans_default_count,prior_loans_amount_total,multi_lender_inquiry_count_30d,days_since_last_inquiry_elsewhere,repeat_application_count,requested_amount_to_observed_revenue,prior_underwriter_score,prior_approved_amount,default_flag,days_to_default,days_to_full_repayment,final_recovered_amount
vintage_years,1.0,0.09203556695954417,0.9949881410298103,-0.06464397587409122,0.10473008588332944,0.16295399593991827,-0.0046392848049838925,0.0051043611819684516,0.35377123791140275,-0.09958653365925223,0.3871192120499205,-0.30736420238045087,-0.11033415022671077,-0.08272532196788564,0.09136802418632106,0.872682500915603,0.23062523768096604,-0.36943831055226617,-0.29105741712230726,0.05875390936627109,-0.012258388006982463,0.131184236543546,-0.061938619755894764,0.10468227899785898,3.6364046805686573e-06,-0.18495613211382067,0.19402122344165088,-0.02212689530119948,-0.09474832403411632,0.1054514804143035,,0.019807571424101608
stated_annual_revenue,0.09203556695954417,1.0,0.09735044996728542,0.622944898892555,-0.006927495858845229,0.9160357298511024,-0.29381919964395165,0.11374270818459821,-0.020625693712738084,0.013412781185111236,0.3641125076848179,-0.1680453787782113,-0.03383294757632225,-0.34852062967021713,0.01770489425058062,0.07991610589942226,0.36781630028812196,-0.0400569143413527,0.03782725457251324,0.024047707094778308,0.00393930740390391,0.0522649288666789,-0.01123174477736273,0.016350263973435922,0.022219118611833618,-0.6202467194614211,-0.02938009107929494,0.6282193378346802,-0.04562386698905953,0.05423948872047418,,0.12184930481451732
stated_time_in_business,0.9949881410298103,0.09735044996728542,1.0,-0.040756015874955726,0.097389387883887,0.15902197728305376,-0.008865201003548045,0.014937408603215034,0.3266276753835016,-0.08880987073359285,0.37261100021842336,-0.2784812999797096,-0.10332515150197807,-0.07277447037070049,0.08232533619128497,0.8685640373023844,0.22407788251598232,-0.3529827477478405,-0.2587127587384901,0.056448107583904374,-0.010251323194038807,0.12653391690928759,-0.0570254140152095,0.09600967224818681,0.00027783149007483345,-0.1721407169203827,0.17943090935033446,-0.0037460090483130678,-0.08375368676869757,0.09522292021908185,,0.024758594401255177
requested_amount,-0.06464397587409122,0.622944898892555,-0.040756015874955726,1.0,-0.12713822873566735,0.5148201572887864,-0.3623163242856848,0.3704978836799402,-0.565903525361097,0.22842990478889025,0.03538463512472128,0.43795766290100163,0.08629939438848808,-0.05927519798922204,-0.12489553666770964,-0.05527002282711402,0.16376675262620735,0.1183764093055666,0.6247227283649935,-0.009787651568594602,0.04264205447879689,-0.021465988746874838,0.08096833832912992,-0.133937961035396,0.018451824531318904,-0.20104118438025698,-0.28306886140116094,0.9782628412127033,0.20174516563313263,-0.1678773064685084,,0.29802080449797397
has_linked_bank_feed,0.10473008588332944,-0.006927495858845229,0.097389387883887,-0.12713822873566735,1.0,,,,,,,-0.1716842595672954,-0.04304055167829465,-0.04993531585026225,0.052694931661988395,0.09371151216649783,0.05236581055568228,-0.13056463813601785,-0.18338531109323264,0.013705950615999588,-0.013775230491975411,0.03354692712081799,-0.03568490298647981,0.05185648196778013,-0.0012569633951078638,-0.0561721501607064,0.08679638448626047,-0.10617818605526745,-0.02995166148284338,-0.0008873965199874215,,0.012102895176784418
observed_monthly_revenue_avg_3mo,0.16295399593991827,0.9160357298511024,0.15902197728305376,0.5148201572887864,,1.0,-0.2684873622240421,0.0553448541006322,0.13200026002032886,-0.04402412664713789,0.4536551636338382,-0.3199401541344596,-0.07106054710663616,-0.3968477133925112,0.06438186177229395,0.14176458683866006,0.4184374481675433,-0.111626322057748,-0.11617948443034348,0.0344762768791323,-0.0032121640105393003,0.07956827179032974,-0.03917347536124407,0.06623904458532597,0.020605326490911832,-0.6772499259172885,0.04753767524879466,0.5307762478096865,-0.09645124902632053,0.11526079375271646,,0.07623671945923793
observed_revenue_trend_3mo,-0.0046392848049838925,-0.29381919964395165,-0.008865201003548045,-0.3623163242856848,,-0.2684873622240421,1.0,-0.3672348780945907,0.08453161399884705,-0.04209736814315447,-0.0023291524054687685,-0.028893403144328186,-0.003122868749337687,0.14852383646963865,0.022885844389493842,-0.001430027018712546,0.0071614714926182795,0.0035723356792251863,-0.10772798436581175,-0.002670310288434869,-0.010105627603358178,-0.013927148988426098,-0.009146109648074099,0.03044642976916369,-0.0363833211584245,0.1697248541699775,0.12552224293038744,-0.33604235973031765,-0.09557184638696252,0.0929442521577922,,-0.15438058062445892
observed_revenue_volatility,0.0051043611819684516,0.11374270818459821,0.014937408603215034,0.3704978836799402,,0.0553448541006322,-0.3672348780945907,1.0,-0.18564689154962666,0.0970396275197219,0.0009193223895381661,0.20402163880591898,0.02685594127048261,-0.03145225960658652,-0.0503898557017868,0.004057007808974307,0.0006758321179015422,-0.0065937241888450685,0.2381926922214465,0.00251808315066494,0.020094402249929873,0.0038389414335084347,0.03677716403265353,-0.05810311326981919,0.007165070038550103,0.107966254532952,-0.1804892240932136,0.3460745047702872,0.21027678853777024,-0.17504572760218007,,0.2279675081817619
observed_cash_balance_p10,0.35377123791140275,-0.020625693712738084,0.3266276753835016,-0.565903525361097,,0.13200026002032886,0.08453161399884705,-0.18564689154962666,1.0,-0.32425814244319784,0.5656358791581287,-0.6961743937141834,-0.17267136794791174,-0.18493362078811465,0.19272201016089466,0.30952261963965744,0.18690845775212342,-0.39261866331688183,-0.926117781406967,0.056622126240299483,-0.051427906317603654,0.12602913399486707,-0.12152979326512597,0.20677379852531613,0.003747672222570377,-0.43291419013010335,0.3583536106018198,-0.5166755730545591,-0.327841414756824,0.3449165972610725,,-0.17394569143106775
observed_overdraft_count_3mo,-0.09958653365925223,0.013412781185111236,-0.08880987073359285,0.22842990478889025,,-0.04402412664713789,-0.04209736814315447,0.0970396275197219,-0.32425814244319784,1.0,-0.1697397083342468,0.27412062328587705,0.06112103763012808,0.09067711490639638,-0.07117634645670652,-0.08534449503708934,-0.06072647961362891,0.11292927044268551,0.3260490704341279,-0.022902535284169204,0.015004188384877354,-0.044678826714984424,0.04855272995249175,-0.06930071456391987,-0.0018919563532585405,0.17080316666209144,-0.13601266196034736,0.21359419093084703,0.17886531396177993,-0.16016959366216446,,0.11657671664566689
