feature_a,feature_b,correlation
vintage_years,stated_time_in_business,0.9949881410298103
requested_amount,prior_approved_amount,0.9782628412127033
prior_loans_count,prior_loans_amount_total,0.9412347121221344
observed_cash_balance_p10,invoice_payment_delinquency_rate,-0.926117781406967
stated_annual_revenue,observed_monthly_revenue_avg_3mo,0.9160357298511024
vintage_years,account_age_days,0.872682500915603
stated_time_in_business,account_age_days,0.8685640373023844
days_to_default,final_recovered_amount,-0.7389999998070989
aggregate_credit_utilization,invoice_payment_delinquency_rate,0.726209352268816
observed_cash_balance_p10,aggregate_credit_utilization,-0.6961743937141834
payroll_regularity_score,platform_active_months,0.6823707703823852
observed_monthly_revenue_avg_3mo,requested_amount_to_observed_revenue,-0.6772499259172885
stated_annual_revenue,prior_approved_amount,0.6282193378346802
requested_amount,invoice_payment_delinquency_rate,0.6247227283649935
stated_annual_revenue,requested_amount,0.622944898892555
stated_annual_revenue,requested_amount_to_observed_revenue,-0.6202467194614211
aggregate_credit_utilization,existing_debt_obligations,0.6136878031849404
invoice_payment_delinquency_rate,prior_approved_amount,0.5713207944754172
requested_amount,observed_cash_balance_p10,-0.565903525361097
observed_cash_balance_p10,payroll_regularity_score,0.5656358791581287
aggregate_credit_utilization,requested_amount_to_observed_revenue,0.5512570102495913
payroll_regularity_score,requested_amount_to_observed_revenue,-0.5343582351346536
observed_monthly_revenue_avg_3mo,prior_approved_amount,0.5307762478096865
existing_debt_obligations,requested_amount_to_observed_revenue,0.5249786115976213
observed_cash_balance_p10,prior_approved_amount,-0.5166755730545591
requested_amount,observed_monthly_revenue_avg_3mo,0.5148201572887864
payroll_regularity_score,invoice_payment_delinquency_rate,-0.5130047407069318
payroll_regularity_score,aggregate_credit_utilization,-0.46224027842402987
observed_monthly_revenue_avg_3mo,payroll_regularity_score,0.4536551636338382
requested_amount,aggregate_credit_utilization,0.43795766290100163
observed_cash_balance_p10,requested_amount_to_observed_revenue,-0.43291419013010335
observed_monthly_revenue_avg_3mo,platform_active_months,0.4184374481675433
platform_active_months,requested_amount_to_observed_revenue,-0.39817098274620694
observed_monthly_revenue_avg_3mo,existing_debt_obligations,-0.3968477133925112
observed_cash_balance_p10,bookkeeping_recency_days,-0.39261866331688183
vintage_years,payroll_regularity_score,0.3871192120499205
bookkeeping_recency_days,invoice_payment_delinquency_rate,0.38674889442247445
aggregate_credit_utilization,prior_underwriter_score,-0.38306089713759184
invoice_payment_delinquency_rate,requested_amount_to_observed_revenue,0.38298718355254063
aggregate_credit_utilization,prior_approved_amount,0.37706934333463415
stated_time_in_business,payroll_regularity_score,0.37261100021842336
invoice_payment_delinquency_rate,default_flag,0.3719236398088055
requested_amount,observed_revenue_volatility,0.3704978836799402
vintage_years,bookkeeping_recency_days,-0.36943831055226617
stated_annual_revenue,platform_active_months,0.36781630028812196
observed_revenue_trend_3mo,observed_revenue_volatility,-0.3672348780945907
invoice_payment_delinquency_rate,prior_underwriter_score,-0.3670350675278726
stated_annual_revenue,payroll_regularity_score,0.3641125076848179
requested_amount,observed_revenue_trend_3mo,-0.3623163242856848
observed_cash_balance_p10,prior_underwriter_score,0.3583536106018198
vintage_years,observed_cash_balance_p10,0.35377123791140275
stated_time_in_business,bookkeeping_recency_days,-0.3529827477478405
stated_annual_revenue,existing_debt_obligations,-0.34852062967021713
observed_revenue_volatility,prior_approved_amount,0.3460745047702872
payroll_regularity_score,bookkeeping_recency_days,-0.3460081976317944
observed_cash_balance_p10,days_to_default,0.3449165972610725
aggregate_credit_utilization,bookkeeping_recency_days,0.34173113290381407
payroll_regularity_score,account_age_days,0.3398515081155319
observed_revenue_trend_3mo,prior_approved_amount,-0.33604235973031765
observed_cash_balance_p10,default_flag,-0.327841414756824
stated_time_in_business,observed_cash_balance_p10,0.3266276753835016
observed_overdraft_count_3mo,invoice_payment_delinquency_rate,0.3260490704341279
observed_cash_balance_p10,observed_overdraft_count_3mo,-0.32425814244319784
aggregate_credit_utilization,default_flag,0.3211768173493412
observed_monthly_revenue_avg_3mo,aggregate_credit_utilization,-0.3199401541344596
account_age_days,bookkeeping_recency_days,-0.31862581435217785
observed_cash_balance_p10,account_age_days,0.30952261963965744
vintage_years,aggregate_credit_utilization,-0.30736420238045087
